    PID CMD
   2947 /snap/snapd-desktop-integration/157/usr/bin/snapd-desktop-integration
   3122 /snap/snapd-desktop-integration/157/usr/bin/snapd-desktop-integration
   2332 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
   2144 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   3140 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
   2420 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
  25618 /usr/bin/gnome-control-center network
   2135 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
   2319 /usr/bin/gnome-shell
   2422 /usr/bin/ibus-daemon --panel disable
  25292 /usr/bin/nautilus --gapplication-service
   2128 /usr/bin/pipewire
   2129 /usr/bin/pipewire -c filter-chain.conf
   2133 /usr/bin/pipewire-pulse
   1112 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
   8375 /usr/bin/seahorse --gapplication-service
   5439 /usr/bin/snap userd
   3477 /usr/bin/update-notifier
   2131 /usr/bin/wireplumber
   3255 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.RNW2R2 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7 -byteswappedclients
    864 /usr/libexec/accounts-daemon
   2369 /usr/libexec/at-spi2-registryd --use-gnome-session
   2318 /usr/libexec/at-spi-bus-launcher --launch-immediately
   7533 /usr/libexec/bluetooth/obexd
   1609 /usr/libexec/colord
   2404 /usr/libexec/dconf-service
   2671 /usr/libexec/evolution-addressbook-factory
   2486 /usr/libexec/evolution-calendar-factory
   2453 /usr/libexec/evolution-data-server/evolution-alarm-notify
   2398 /usr/libexec/evolution-source-registry
   3926 /usr/libexec/fwupd/fwupd
   2234 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
   2171 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
    833 /usr/libexec/gnome-remote-desktop-daemon --system
   2176 /usr/libexec/gnome-session-binary --session=ubuntu
   2293 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
   2236 /usr/libexec/gnome-session-ctl --monitor
   2386 /usr/libexec/gnome-shell-calendar-server
   3305 /usr/libexec/gnome-terminal-server
   2418 /usr/libexec/goa-daemon
   2544 /usr/libexec/goa-identity-service
   2423 /usr/libexec/gsd-a11y-settings
   2425 /usr/libexec/gsd-color
   2426 /usr/libexec/gsd-datetime
   2467 /usr/libexec/gsd-disk-utility-notify
   2427 /usr/libexec/gsd-housekeeping
   2428 /usr/libexec/gsd-keyboard
   2429 /usr/libexec/gsd-media-keys
   2430 /usr/libexec/gsd-power
   2629 /usr/libexec/gsd-printer
   2431 /usr/libexec/gsd-print-notifications
   2434 /usr/libexec/gsd-rfkill
   2437 /usr/libexec/gsd-screensaver-proxy
   2438 /usr/libexec/gsd-sharing
   2439 /usr/libexec/gsd-smartcard
   2440 /usr/libexec/gsd-sound
   2442 /usr/libexec/gsd-wacom
   3260 /usr/libexec/gsd-xsettings
   2706 /usr/libexec/gvfs-afc-volume-monitor
   2248 /usr/libexec/gvfsd
   4784 /usr/libexec/gvfsd-dnssd --spawner :1.17 /org/gtk/gvfs/exec_spaw/3
   2270 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
  15586 /usr/libexec/gvfsd-http --spawner :1.17 /org/gtk/gvfs/exec_spaw/45
   2688 /usr/libexec/gvfsd-metadata
   4767 /usr/libexec/gvfsd-network --spawner :1.17 /org/gtk/gvfs/exec_spaw/1
   4901 /usr/libexec/gvfsd-recent --spawner :1.17 /org/gtk/gvfs/exec_spaw/10
   2793 /usr/libexec/gvfsd-trash --spawner :1.17 /org/gtk/gvfs/exec_spaw/0
   2717 /usr/libexec/gvfs-goa-volume-monitor
   2712 /usr/libexec/gvfs-gphoto2-volume-monitor
   2722 /usr/libexec/gvfs-mtp-volume-monitor
   2637 /usr/libexec/gvfs-udisks2-volume-monitor
   2764 /usr/libexec/ibus-engine-simple
   2728 /usr/libexec/ibus-extension-gtk3
   2727 /usr/libexec/ibus-memconf
   2730 /usr/libexec/ibus-portal
   3301 /usr/libexec/ibus-x11
   3313 /usr/libexec/mutter-x11-frames
    838 /usr/libexec/power-profiles-daemon
   1522 /usr/libexec/rtkit-daemon
    867 /usr/libexec/switcheroo-control
   2903 /usr/libexec/tracker-miner-fs-3
   3182 /usr/libexec/ubuntu-advantage-desktop-daemon
    869 /usr/libexec/udisks2/udisksd
   1648 /usr/libexec/upowerd
   2826 /usr/libexec/xdg-desktop-portal
   2904 /usr/libexec/xdg-desktop-portal-gnome
   3214 /usr/libexec/xdg-desktop-portal-gtk
   2831 /usr/libexec/xdg-document-portal
   2385 /usr/libexec/xdg-permission-store
    836 /usr/lib/polkit-1/polkitd --no-debug
  19666 /usr/lib/snapd/snapd
    365 /usr/lib/systemd/systemd-journald
    860 /usr/lib/systemd/systemd-logind
    545 /usr/lib/systemd/systemd-oomd
    550 /usr/lib/systemd/systemd-resolved
    554 /usr/lib/systemd/systemd-timesyncd
    422 /usr/lib/systemd/systemd-udevd
   2108 /usr/lib/systemd/systemd --user
    866 /usr/sbin/cron -f -P
  35087 /usr/sbin/cups-browsed
  35080 /usr/sbin/cupsd -l
   1445 /usr/sbin/gdm3
   1338 /usr/sbin/kerneloops
   1334 /usr/sbin/kerneloops --test
    979 /usr/sbin/ModemManager
   1239 /usr/sbin/NetworkManager --no-daemon
    957 /usr/sbin/rsyslogd -n -iNONE
    893 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
     51 [watchdogd]
